,날짜,디바이스,유입경로,키워드,노출수,유입수,유입률(%),체류시간(min),평균체류시간(min),페이지뷰,평균페이지뷰,이탈수,이탈률(%),회원가입,전환율(가입),앱 다운,전환율(앱),구독,전환율(구독),전환수,전환율
,2023-01-01,Mobile,인스타그램,,642,31,4.828660436,100,3.225806452,121,3.903225806,1,3.225806452,8,25.80645161,7,22.58064516,4,12.90322581,19,61.29032258
,2023-01-01,Mobile,유튜브,,791,65,8.217446271,323,4.969230769,119,1.830769231,10,15.38461538,10,15.38461538,2,3.076923077,8,12.30769231,20,30.76923077
,2023-01-01,Mobile,배너 광고,,518,17,3.281853282,104,6.117647059,64,3.764705882,3,17.64705882,9,52.94117647,1,5.882352941,1,5.882352941,11,64.70588235
,2023-01-01,Mobile,트위터 X,,556,56,10.07194245,255,4.553571429,365,6.517857143,0,0,1,1.785714286,7,12.5,9,16.07142857,17,30.35714286
,2023-01-01,Mobile,기타 SNS,,886,83,9.367945824,217,2.614457831,8,0.0963855422,3,3.614457831,9,10.84337349,8,9.638554217,8,9.638554217,25,30.12048193
,2023-01-02,PC,직접 유입,,0,28,0,157,5.607142857,120,4.285714286,3,10.71428571,2,7.142857143,3,10.71428571,7,25,12,42.85714286
,2023-01-02,PC,키워드 검색,친환경 활동,391,3,0.767263427,472,157.3333333,270,90,2,66.66666667,9,300,10,333.3333333,9,300,28,933.3333333
,2023-01-02,PC,키워드 검색,재활용 가이드,122,8,6.557377049,112,14,119,14.875,7,87.5,4,50,7,87.5,2,25,13,162.5
,2023-01-02,PC,키워드 검색,재활용 앱,899,68,7.563959956,435,6.397058824,132,1.941176471,4,5.882352941,5,7.352941176,2,2.941176471,9,13.23529412,16,23.52941176
,2023-01-02,PC,키워드 검색,지역 재활용 센터,418,27,6.459330144,95,3.518518519,181,6.703703704,4,14.81481481,10,37.03703704,8,29.62962963,5,18.51851852,23,85.18518519
,2023-01-02,PC,키워드 검색,플로깅,798,27,3.383458647,373,13.81481481,423,15.66666667,9,33.33333333,10,37.03703704,3,11.11111111,3,11.11111111,16,59.25925926
,2023-01-02,PC,키워드 검색,환경 캠페인,343,22,6.413994169,322,14.63636364,133,6.045454545,8,36.36363636,4,18.18181818,1,4.545454545,2,9.090909091,7,31.81818182
,2023-01-02,PC,키워드 검색,환경 보호 앱,278,68,24.46043165,422,6.205882353,277,4.073529412,3,4.411764706,10,14.70588235,5,7.352941176,0,0,15,22.05882353
,2023-01-02,PC,키워드 검색,플로깅 행사,508,90,17.71653543,223,2.477777778,63,0.7,0,0,7,7.777777778,7,7.777777778,9,10,23,25.55555556
,2023-01-02,PC,키워드 검색,쓰레기 줍기,514,58,11.28404669,83,1.431034483,295,5.086206897,0,0,1,1.724137931,3,5.172413793,1,1.724137931,5,8.620689655
,2023-01-02,PC,키워드 검색,지속 가능한 생활,626,32,5.111821086,46,1.4375,414,12.9375,7,21.875,9,28.125,5,15.625,4,12.5,18,56.25
,2023-01-02,PC,블로그,,114,75,65.78947368,153,2.04,183,2.44,7,9.333333333,9,12,7,9.333333333,6,8,22,29.33333333
,2023-01-02,PC,카페,,18,18,100,324,18,307,17.05555556,10,55.55555556,8,44.44444444,1,5.555555556,1,5.555555556,10,55.55555556
,2023-01-02,PC,이메일,,243,76,31.27572016,198,2.605263158,144,1.894736842,10,13.15789474,8,10.52631579,9,11.84210526,3,3.947368421,20,26.31578947
,2023-01-02,PC,카카오톡,,134,45,33.58208955,189,4.2,129,2.866666667,5,11.11111111,4,8.888888889,3,6.666666667,6,13.33333333,13,28.88888889
,2023-01-02,PC,메타,,581,2,0.344234079,270,135,125,62.5,2,100,5,250,0,0,8,400,13,650
,2023-01-02,PC,인스타그램,,194,86,44.32989691,81,0.941860465,119,1.38372093,9,10.46511628,6,6.976744186,4,4.651162791,1,1.162790698,11,12.79069767
,2023-01-02,PC,유튜브,,941,70,7.438894793,53,0.757142857,319,4.557142857,7,10,4,5.714285714,2,2.857142857,5,7.142857143,11,15.71428571
,2023-01-02,PC,배너 광고,,575,94,16.34782609,274,2.914893617,489,5.20212766,1,1.063829787,3,3.191489362,0,0,0,0,3,3.191489362
,2023-01-02,PC,트위터 X,,913,3,0.328587076,162,54,40,13.33333333,3,100,0,0,6,200,10,333.3333333,16,533.3333333
,2023-01-02,PC,기타 SNS,,512,3,0.5859375,494,164.6666667,475,158.3333333,2,66.66666667,5,166.6666667,0,0,5,166.6666667,10,333.3333333
,2023-01-02,Mobile,직접 유입,,0,71,0,333,4.690140845,341,4.802816901,1,1.408450704,0,0,7,9.85915493,6,8.450704225,13,18.30985915
,2023-01-02,Mobile,키워드 검색,지속 가능한 생활,27,26,96.2962963,50,1.923076923,278,10.69230769,4,15.38461538,5,19.23076923,7,26.92307692,5,19.23076923,17,65.38461538
,2023-01-02,Mobile,블로그,,755,49,6.490066225,178,3.632653061,269,5.489795918,9,18.36734694,1,2.040816327,10,20.40816327,7,14.28571429,18,36.73469388
,2023-01-02,Mobile,카페,,215,5,2.325581395,85,17,284,56.8,0,0,0,0,8,160,0,0,8,160
,2023-01-02,Mobile,이메일,,59,2,3.389830508,66,33,415,207.5,2,100,10,500,3,150,2,100,15,750
,2023-01-02,Mobile,카카오톡,,11,2,18.18181818,46,23,21,10.5,2,100,0,0,8,400,8,400,16,800
,2023-01-02,Mobile,메타,,211,17,8.056872038,274,16.11764706,407,23.94117647,5,29.41176471,7,41.17647059,6,35.29411765,4,23.52941176,17,100
,2023-01-02,Mobile,인스타그램,,326,59,18.09815951,19,0.322033898,152,2.576271186,4,6.779661017,2,3.389830508,3,5.084745763,9,15.25423729,14,23.72881356
,2023-01-02,Mobile,유튜브,,190,84,44.21052632,196,2.333333333,193,2.297619048,8,9.523809524,1,1.19047619,2,2.380952381,1,1.19047619,4,4.761904762
,2023-01-02,Mobile,배너 광고,,566,53,9.363957597,500,9.433962264,317,5.981132075,3,5.660377358,1,1.886792453,10,18.86792453,7,13.20754717,18,33.96226415
,2023-01-02,Mobile,트위터 X,,334,95,28.44311377,107,1.126315789,96,1.010526316,5,5.263157895,1,1.052631579,8,8.421052632,5,5.263157895,14,14.73684211
,2023-01-02,Mobile,기타 SNS,,878,75,8.54214123,50,0.666666667,223,2.973333333,4,5.333333333,2,2.666666667,2,2.666666667,0,0,4,5.333333333
,2023-01-03,PC,직접 유입,,0,11,0,493,44.81818182,274,24.90909091,10,90.90909091,8,72.72727273,3,27.27272727,0,0,11,100
,2023-01-03,PC,키워드 검색,환경 캠페인,603,41,6.79933665,195,4.756097561,387,9.43902439,0,0,7,17.07317073,5,12.19512195,4,9.756097561,16,39.02439024
,2023-01-03,PC,키워드 검색,재활용 가이드,560,34,6.071428571,54,1.588235294,314,9.235294118,1,2.941176471,5,14.70588235,10,29.41176471,4,11.76470588,19,55.88235294
,2023-01-03,PC,키워드 검색,환경 보호 앱,941,30,3.188097768,66,2.2,484,16.13333333,0,0,6,20,0,0,5,16.66666667,11,36.66666667
,2023-01-03,PC,블로그,,34,30,88.23529412,212,7.066666667,132,4.4,8,26.66666667,4,13.33333333,8,26.66666667,9,30,21,70
,2023-01-03,PC,카페,,308,62,20.12987013,437,7.048387097,25,0.403225806,2,3.225806452,7,11.29032258,1,1.612903226,9,14.51612903,17,27.41935484
,2023-01-03,PC,이메일,,746,90,12.06434316,160,1.777777778,464,5.155555556,5,5.555555556,7,7.777777778,7,7.777777778,6,6.666666667,20,22.22222222
,2023-01-03,PC,카카오톡,,434,76,17.51152074,79,1.039473684,15,0.197368421,10,13.15789474,9,11.84210526,10,13.15789474,8,10.52631579,27,35.52631579
,2023-01-03,PC,메타,,148,60,40.54054054,254,4.233333333,114,1.9,8,13.33333333,9,15,9,15,4,6.666666667,22,36.66666667
,2023-01-03,PC,인스타그램,,41,30,73.17073171,313,10.43333333,489,16.3,6,20,8,26.66666667,2,6.666666667,5,16.66666667,15,50
,2023-01-03,PC,유튜브,,177,76,42.93785311,195,2.565789474,178,2.342105263,2,2.631578947,1,1.315789474,8,10.52631579,5,6.578947368,14,18.42105263
,2023-01-03,PC,배너 광고,,166,4,2.409638554,274,68.5,82,20.5,0,0,10,250,9,225,2,50,21,525
,2023-01-03,PC,트위터 X,,430,60,13.95348837,72,1.2,419,6.983333333,5,8.333333333,9,15,3,5,9,15,21,35
,2023-01-03,PC,기타 SNS,,469,91,19.40298507,355,3.901098901,492,5.406593407,8,8.791208791,7,7.692307692,5,5.494505495,6,6.593406593,18,19.78021978
,2023-01-03,Mobile,직접 유입,,0,12,0,255,21.25,276,23,10,83.33333333,5,41.66666667,6,50,9,75,20,166.6666667
,2023-01-03,Mobile,키워드 검색,쓰레기 줍기,729,1,0.137174211,499,499,495,495,0,0,7,700,3,300,0,0,10,1000
,2023-01-03,Mobile,키워드 검색,재활용 앱,467,20,4.282655246,30,1.5,372,18.6,3,15,10,50,6,30,7,35,23,115
,2023-01-03,Mobile,키워드 검색,플로깅,993,77,7.75427996,121,1.571428571,1,0.012987013,10,12.98701299,9,11.68831169,10,12.98701299,2,2.597402597,21,27.27272727
,2023-01-03,Mobile,블로그,,963,26,2.699896158,124,4.769230769,209,8.038461538,6,23.07692308,1,3.846153846,7,26.92307692,4,15.38461538,12,46.15384615
,2023-01-03,Mobile,카페,,560,64,11.42857143,103,1.609375,310,4.84375,1,1.5625,6,9.375,0,0,4,6.25,10,15.625
,2023-01-03,Mobile,이메일,,954,57,5.974842767,431,7.561403509,494,8.666666667,5,8.771929825,6,10.52631579,8,14.03508772,9,15.78947368,23,40.35087719
,2023-01-03,Mobile,카카오톡,,756,32,4.232804233,483,15.09375,397,12.40625,4,12.5,0,0,2,6.25,8,25,10,31.25
,2023-01-03,Mobile,메타,,884,33,3.733031674,61,1.848484848,38,1.151515152,8,24.24242424,8,24.24242424,4,12.12121212,10,30.3030303,22,66.66666667
,2023-01-03,Mobile,인스타그램,,307,20,6.51465798,401,20.05,20,1,2,10,1,5,2,10,8,40,11,55
,2023-01-03,Mobile,유튜브,,283,69,24.38162544,316,4.579710145,445,6.449275362,10,14.49275362,6,8.695652174,9,13.04347826,6,8.695652174,21,30.43478261
,2023-01-03,Mobile,배너 광고,,85,44,51.76470588,443,10.06818182,476,10.81818182,4,9.090909091,1,2.272727273,1,2.272727273,1,2.272727273,3,6.818181818
,2023-01-03,Mobile,트위터 X,,121,13,10.74380165,170,13.07692308,203,15.61538462,8,61.53846154,4,30.76923077,3,23.07692308,6,46.15384615,13,100
,2023-01-03,Mobile,기타 SNS,,967,8,0.827300931,248,31,100,12.5,6,75,0,0,10,125,5,62.5,15,187.5
,2023-01-04,PC,직접 유입,,0,10,0,329,32.9,143,14.3,8,80,7,70,8,80,0,0,15,150
,2023-01-04,PC,키워드 검색,재활용 앱,479,16,3.340292276,175,10.9375,424,26.5,0,0,3,18.75,2,12.5,10,62.5,15,93.75
,2023-01-04,PC,키워드 검색,지속 가능한 생활,477,48,10.06289308,76,1.583333333,490,10.20833333,5,10.41666667,1,2.083333333,10,20.83333333,0,0,11,22.91666667
,2023-01-04,PC,키워드 검색,플로깅 행사,230,55,23.91304348,408,7.418181818,412,7.490909091,8,14.54545455,6,10.90909091,8,14.54545455,8,14.54545455,22,40
,2023-01-04,PC,키워드 검색,쓰레기 줍기,931,61,6.552094522,71,1.163934426,399,6.540983607,3,4.918032787,6,9.836065574,8,13.1147541,1,1.639344262,15,24.59016393
,2023-01-04,PC,키워드 검색,지역 재활용 센터,166,51,30.72289157,229,4.490196078,365,7.156862745,2,3.921568627,8,15.68627451,3,5.882352941,8,15.68627451,19,37.25490196
,2023-01-04,PC,블로그,,296,96,32.43243243,281,2.927083333,98,1.020833333,0,0,6,6.25,1,1.041666667,1,1.041666667,8,8.333333333
,2023-01-04,PC,카페,,155,32,20.64516129,343,10.71875,421,13.15625,1,3.125,5,15.625,9,28.125,6,18.75,20,62.5
,2023-01-04,PC,이메일,,240,1,0.416666667,425,425,358,358,0,0,1,100,6,600,8,800,15,1500
,2023-01-04,PC,카카오톡,,27,10,37.03703704,135,13.5,369,36.9,8,80,10,100,4,40,8,80,22,220
,2023-01-04,PC,메타,,270,76,28.14814815,4,0.0526315789,60,0.789473684,5,6.578947368,10,13.15789474,6,7.894736842,9,11.84210526,25,32.89473684
,2023-01-04,PC,인스타그램,,343,67,19.5335277,164,2.447761194,479,7.149253731,5,7.462686567,1,1.492537313,6,8.955223881,8,11.94029851,15,22.3880597
,2023-01-04,PC,유튜브,,533,21,3.939962477,492,23.42857143,105,5,3,14.28571429,7,33.33333333,9,42.85714286,1,4.761904762,17,80.95238095
,2023-01-04,PC,배너 광고,,159,49,30.81761006,9,0.183673469,85,1.734693878,8,16.32653061,8,16.32653061,6,12.24489796,2,4.081632653,16,32.65306122
,2023-01-04,PC,트위터 X,,851,77,9.048178613,344,4.467532468,210,2.727272727,8,10.38961039,9,11.68831169,10,12.98701299,5,6.493506494,24,31.16883117
,2023-01-04,PC,기타 SNS,,370,45,12.16216216,154,3.422222222,8,0.177777778,4,8.888888889,10,22.22222222,5,11.11111111,2,4.444444444,17,37.77777778
,2023-01-04,Mobile,직접 유입,,0,45,0,455,10.11111111,96,2.133333333,7,15.55555556,3,6.666666667,0,0,10,22.22222222,13,28.88888889
,2023-01-04,Mobile,키워드 검색,지역 재활용 센터,766,52,6.788511749,206,3.961538462,287,5.519230769,8,15.38461538,0,0,1,1.923076923,5,9.615384615,6,11.53846154
,2023-01-04,Mobile,키워드 검색,쓰레기 줍기,416,33,7.932692308,455,13.78787879,366,11.09090909,7,21.21212121,1,3.03030303,9,27.27272727,0,0,10,30.3030303
,2023-01-04,Mobile,블로그,,912,26,2.850877193,191,7.346153846,140,5.384615385,3,11.53846154,9,34.61538462,8,30.76923077,7,26.92307692,24,92.30769231
,2023-01-04,Mobile,카페,,969,78,8.049535604,402,5.153846154,39,0.5,0,0,5,6.41025641,3,3.846153846,8,10.25641026,16,20.51282051
,2023-01-04,Mobile,이메일,,528,41,7.765151515,288,7.024390244,454,11.07317073,9,21.95121951,9,21.95121951,5,12.19512195,4,9.756097561,18,43.90243902
,2023-01-04,Mobile,카카오톡,,717,69,9.623430962,114,1.652173913,6,0.0869565217,8,11.5942029,6,8.695652174,3,4.347826087,6,8.695652174,15,21.73913043
,2023-01-04,Mobile,메타,,500,76,15.2,397,5.223684211,270,3.552631579,6,7.894736842,8,10.52631579,8,10.52631579,1,1.315789474,17,22.36842105
,2023-01-04,Mobile,인스타그램,,818,38,4.645476773,78,2.052631579,58,1.526315789,1,2.631578947,1,2.631578947,7,18.42105263,5,13.15789474,13,34.21052632
,2023-01-04,Mobile,유튜브,,685,37,5.401459854,287,7.756756757,186,5.027027027,7,18.91891892,4,10.81081081,7,18.91891892,2,5.405405405,13,35.13513514
,2023-01-04,Mobile,배너 광고,,700,73,10.42857143,167,2.287671233,81,1.109589041,6,8.219178082,8,10.95890411,4,5.479452055,3,4.109589041,15,20.54794521
,2023-01-04,Mobile,트위터 X,,34,22,64.70588235,422,19.18181818,1,0.0454545455,7,31.81818182,10,45.45454545,5,22.72727273,3,13.63636364,18,81.81818182
,2023-01-04,Mobile,기타 SNS,,884,66,7.466063348,318,4.818181818,243,3.681818182,5,7.575757576,8,12.12121212,0,0,8,12.12121212,16,24.24242424
,2023-01-05,PC,직접 유입,,0,1,0,387,387,449,449,0,0,2,200,9,900,7,700,18,1800
,2023-01-05,PC,키워드 검색,플로깅 행사,515,26,5.048543689,81,3.115384615,369,14.19230769,4,15.38461538,5,19.23076923,0,0,4,15.38461538,9,34.61538462
,2023-01-05,PC,키워드 검색,플로깅,449,74,16.48106904,468,6.324324324,199,2.689189189,5,6.756756757,6,8.108108108,8,10.81081081,3,4.054054054,17,22.97297297
,2023-01-05,PC,키워드 검색,환경 캠페인,266,23,8.646616541,393,17.08695652,22,0.956521739,1,4.347826087,5,21.73913043,7,30.43478261,6,26.08695652,18,78.26086957
,2023-01-05,PC,키워드 검색,환경 보호 앱,468,37,7.905982906,41,1.108108108,7,0.189189189,9,24.32432432,10,27.02702703,8,21.62162162,10,27.02702703,28,75.67567568
,2023-01-05,PC,블로그,,939,92,9.797657082,126,1.369565217,110,1.195652174,8,8.695652174,4,4.347826087,8,8.695652174,4,4.347826087,16,17.39130435
,2023-01-05,PC,카페,,768,4,0.520833333,426,106.5,113,28.25,3,75,7,175,7,175,3,75,17,425
,2023-01-05,PC,이메일,,520,96,18.46153846,282,2.9375,484,5.041666667,1,1.041666667,0,0,6,6.25,0,0,6,6.25
,2023-01-05,PC,카카오톡,,359,46,12.81337047,23,0.5,461,10.02173913,5,10.86956522,6,13.04347826,10,21.73913043,0,0,16,34.7826087
,2023-01-05,PC,메타,,194,64,32.98969072,169,2.640625,364,5.6875,5,7.8125,1,1.5625,9,14.0625,1,1.5625,11,17.1875
,2023-01-05,PC,인스타그램,,920,37,4.02173913,147,3.972972973,455,12.2972973,3,8.108108108,10,27.02702703,10,27.02702703,6,16.21621622,26,70.27027027
,2023-01-05,PC,유튜브,,894,15,1.677852349,278,18.53333333,251,16.73333333,1,6.666666667,5,33.33333333,3,20,0,0,8,53.33333333
,2023-01-05,PC,배너 광고,,229,90,39.30131004,234,2.6,329,3.655555556,8,8.888888889,6,6.666666667,9,10,5,5.555555556,20,22.22222222
,2023-01-05,PC,트위터 X,,595,20,3.361344538,94,4.7,19,0.95,2,10,0,0,6,30,8,40,14,70
,2023-01-05,PC,기타 SNS,,687,74,10.77147016,18,0.243243243,190,2.567567568,7,9.459459459,4,5.405405405,1,1.351351351,5,6.756756757,10,13.51351351
,2023-01-05,Mobile,직접 유입,,0,26,0,313,12.03846154,194,7.461538462,0,0,10,38.46153846,0,0,6,23.07692308,16,61.53846154
,2023-01-05,Mobile,키워드 검색,쓰레기 줍기,701,32,4.564907275,445,13.90625,455,14.21875,1,3.125,6,18.75,5,15.625,9,28.125,20,62.5
,2023-01-05,Mobile,키워드 검색,재활용 앱,550,68,12.36363636,321,4.720588235,112,1.647058824,6,8.823529412,5,7.352941176,5,7.352941176,5,7.352941176,15,22.05882353
,2023-01-05,Mobile,키워드 검색,친환경 활동,949,9,0.948366702,3,0.333333333,386,42.88888889,4,44.44444444,2,22.22222222,8,88.88888889,10,111.1111111,20,222.2222222
,2023-01-05,Mobile,키워드 검색,플로깅 행사,651,42,6.451612903,265,6.30952381,155,3.69047619,10,23.80952381,6,14.28571429,2,4.761904762,4,9.523809524,12,28.57142857
,2023-01-05,Mobile,키워드 검색,지속 가능한 생활,442,100,22.62443439,330,3.3,247,2.47,7,7,10,10,7,7,2,2,19,19
,2023-01-05,Mobile,블로그,,632,93,14.71518987,275,2.956989247,15,0.161290323,3,3.225806452,4,4.301075269,5,5.376344086,9,9.677419355,18,19.35483871
,2023-01-05,Mobile,카페,,807,27,3.345724907,422,15.62962963,427,15.81481481,2,7.407407407,2,7.407407407,9,33.33333333,1,3.703703704,12,44.44444444
,2023-01-05,Mobile,이메일,,288,39,13.54166667,445,11.41025641,26,0.666666667,10,25.64102564,4,10.25641026,1,2.564102564,9,23.07692308,14,35.8974359
,2023-01-05,Mobile,카카오톡,,840,52,6.19047619,330,6.346153846,56,1.076923077,1,1.923076923,2,3.846153846,10,19.23076923,9,17.30769231,21,40.38461538
,2023-01-05,Mobile,메타,,52,16,30.76923077,64,4,180,11.25,3,18.75,8,50,5,31.25,4,25,17,106.25
,2023-01-05,Mobile,인스타그램,,388,18,4.639175258,488,27.11111111,258,14.33333333,9,50,8,44.44444444,1,5.555555556,2,11.11111111,11,61.11111111
,2023-01-05,Mobile,유튜브,,338,63,18.63905325,1,0.0158730159,351,5.571428571,3,4.761904762,10,15.87301587,8,12.6984127,10,15.87301587,28,44.44444444
,2023-01-05,Mobile,배너 광고,,972,5,0.514403292,41,8.2,359,71.8,2,40,3,60,3,60,10,200,16,320
,2023-01-05,Mobile,트위터 X,,885,49,5.536723164,350,7.142857143,288,5.87755102,7,14.28571429,6,12.24489796,5,10.20408163,2,4.081632653,13,26.53061224
,2023-01-05,Mobile,기타 SNS,,985,85,8.629441624,38,0.447058824,342,4.023529412,9,10.58823529,7,8.235294118,0,0,4,4.705882353,11,12.94117647
,2023-01-06,PC,직접 유입,,0,55,0,454,8.254545455,254,4.618181818,5,9.090909091,8,14.54545455,7,12.72727273,2,3.636363636,17,30.90909091
,2023-01-06,PC,키워드 검색,플로깅 행사,289,63,21.79930796,365,5.793650794,150,2.380952381,4,6.349206349,2,3.174603175,10,15.87301587,0,0,12,19.04761905
,2023-01-06,PC,키워드 검색,지속 가능한 생활,611,90,14.7299509,436,4.844444444,444,4.933333333,0,0,8,8.888888889,9,10,5,5.555555556,22,24.44444444
,2023-01-06,PC,키워드 검색,플로깅,356,32,8.988764045,439,13.71875,371,11.59375,1,3.125,0,0,10,31.25,1,3.125,11,34.375
,2023-01-06,PC,키워드 검색,환경 캠페인,41,40,97.56097561,442,11.05,82,2.05,1,2.5,6,15,7,17.5,6,15,19,47.5
,2023-01-06,PC,블로그,,830,10,1.204819277,113,11.3,128,12.8,7,70,6,60,2,20,6,60,14,140
,2023-01-06,PC,카페,,562,64,11.38790036,334,5.21875,359,5.609375,1,1.5625,8,12.5,10,15.625,7,10.9375,25,39.0625
,2023-01-06,PC,이메일,,707,5,0.707213579,415,83,309,61.8,4,80,9,180,4,80,1,20,14,280
,2023-01-06,PC,카카오톡,,431,0,0,140,inf,365,inf,0,,6,inf,2,inf,6,inf,14,inf
,2023-01-06,PC,메타,,759,63,8.300395257,380,6.031746032,352,5.587301587,6,9.523809524,0,0,1,1.587301587,10,15.87301587,11,17.46031746
,2023-01-06,PC,인스타그램,,193,34,17.61658031,168,4.941176471,56,1.647058824,3,8.823529412,3,8.823529412,8,23.52941176,0,0,11,32.35294118
,2023-01-06,PC,유튜브,,374,85,22.72727273,401,4.717647059,56,0.658823529,3,3.529411765,2,2.352941176,10,11.76470588,0,0,12,14.11764706
,2023-01-06,PC,배너 광고,,602,11,1.827242525,336,30.54545455,278,25.27272727,0,0,9,81.81818182,0,0,0,0,9,81.81818182
,2023-01-06,PC,트위터 X,,429,67,15.61771562,159,2.373134328,299,4.462686567,7,10.44776119,6,8.955223881,2,2.985074627,2,2.985074627,10,14.92537313
,2023-01-06,PC,기타 SNS,,301,26,8.637873754,88,3.384615385,481,18.5,6,23.07692308,5,19.23076923,2,7.692307692,10,38.46153846,17,65.38461538
,2023-01-06,Mobile,직접 유입,,0,98,0,96,0.979591837,408,4.163265306,3,3.06122449,6,6.12244898,8,8.163265306,4,4.081632653,18,18.36734694
,2023-01-06,Mobile,키워드 검색,지속 가능한 생활,565,47,8.318584071,186,3.957446809,396,8.425531915,1,2.127659574,3,6.382978723,9,19.14893617,1,2.127659574,13,27.65957447
,2023-01-06,Mobile,키워드 검색,재활용 가이드,271,72,26.56826568,113,1.569444444,313,4.347222222,10,13.88888889,10,13.88888889,3,4.166666667,6,8.333333333,19,26.38888889
,2023-01-06,Mobile,키워드 검색,플로깅 행사,447,89,19.91051454,370,4.157303371,344,3.865168539,9,10.11235955,6,6.741573034,9,10.11235955,4,4.494382022,19,21.34831461
,2023-01-06,Mobile,키워드 검색,환경 캠페인,890,32,3.595505618,340,10.625,423,13.21875,5,15.625,0,0,9,28.125,8,25,17,53.125
,2023-01-06,Mobile,키워드 검색,플로깅,735,68,9.25170068,114,1.676470588,449,6.602941176,5,7.352941176,3,4.411764706,6,8.823529412,2,2.941176471,11,16.17647059
,2023-01-06,Mobile,키워드 검색,재활용 앱,721,57,7.905686546,153,2.684210526,401,7.035087719,5,8.771929825,0,0,10,17.54385965,8,14.03508772,18,31.57894737
,2023-01-06,Mobile,블로그,,870,43,4.942528736,264,6.139534884,93,2.162790698,8,18.60465116,8,18.60465116,0,0,4,9.302325581,12,27.90697674
